length;revenue;time
0;0;5.4836273193359375e-06
1;532;2.6226043701171875e-06
2;2987;2.86102294921875e-06
3;7569;2.86102294921875e-06
4;8101;2.86102294921875e-06
5;10556;3.337860107421875e-06
6;15138;3.337860107421875e-06
7;15670;3.814697265625e-06
8;18125;4.76837158203125e-06
9;22707;5.4836273193359375e-06
10;23239;5.7220458984375e-06
11;25694;6.9141387939453125e-06
12;30276;7.62939453125e-06
13;30808;7.867813110351562e-06
14;33263;9.059906005859375e-06
15;37845;1.049041748046875e-05
16;38377;1.2159347534179688e-05
17;40832;1.2159347534179688e-05
18;45414;1.4066696166992188e-05
19;45946;1.4543533325195312e-05
20;48401;1.5497207641601562e-05
21;52983;1.71661376953125e-05
22;53515;1.7881393432617188e-05
23;55970;1.9311904907226562e-05
24;60552;2.1219253540039062e-05
25;61084;2.2172927856445312e-05
26;63539;2.384185791015625e-05
27;68121;2.5033950805664062e-05
28;68653;2.7418136596679688e-05
29;71108;2.9802322387695312e-05
30;75690;3.0517578125e-05
