length;revenue;time
0;0;7.62939453125e-06
1;2803;2.1457672119140625e-06
2;5606;5.245208740234375e-06
3;8409;5.0067901611328125e-06
4;11212;4.291534423828125e-06
5;14015;4.5299530029296875e-06
6;16818;5.0067901611328125e-06
7;19621;6.198883056640625e-06
8;22424;5.245208740234375e-06
9;25227;7.3909759521484375e-06
10;28030;5.9604644775390625e-06
11;30833;6.67572021484375e-06
12;33636;7.62939453125e-06
13;36439;8.344650268554688e-06
14;39242;9.059906005859375e-06
15;42045;9.775161743164062e-06
16;44848;1.0728836059570312e-05
17;47651;1.1920928955078125e-05
18;50454;1.7404556274414062e-05
19;53257;1.8358230590820312e-05
20;56060;2.0503997802734375e-05
21;58863;2.288818359375e-05
22;61666;2.5033950805664062e-05
23;64469;2.4557113647460938e-05
24;67272;2.574920654296875e-05
25;70075;2.9087066650390625e-05
26;72878;3.4332275390625e-05
27;75681;3.2901763916015625e-05
28;78484;3.361701965332031e-05
29;81287;2.8848648071289062e-05
30;84090;3.0994415283203125e-05
31;86893;3.170967102050781e-05
32;89696;3.361701965332031e-05
33;92499;4.9114227294921875e-05
34;95302;4.076957702636719e-05
35;98105;3.933906555175781e-05
36;100908;4.220008850097656e-05
