length;revenue;time
0;0;1.6689300537109375e-06
1;8354;2.1457672119140625e-06
2;16708;2.6226043701171875e-06
3;25062;3.5762786865234375e-06
4;33416;4.5299530029296875e-06
5;41770;8.344650268554688e-06
6;50124;1.4543533325195312e-05
7;58478;2.4557113647460938e-05
8;66832;3.24249267578125e-05
9;75186;7.724761962890625e-05
10;83540;0.00016117095947265625
11;91894;0.00024771690368652344
12;100248;0.0004904270172119141
13;108602;0.0009675025939941406
14;116956;0.0019314289093017578
15;125310;0.0038650035858154297
16;133664;0.007693290710449219
17;142018;0.015367984771728516
18;150372;0.03235578536987305
19;158726;0.0629720687866211
