length;revenue;time
0;0;2.1457672119140625e-06
1;532;2.384185791015625e-06
2;2987;2.384185791015625e-06
3;7569;3.0994415283203125e-06
4;8101;3.337860107421875e-06
5;10556;5.0067901611328125e-06
6;15138;9.059906005859375e-06
7;15670;1.7642974853515625e-05
8;18125;3.123283386230469e-05
9;22707;6.008148193359375e-05
10;23239;0.00011873245239257812
11;25694;0.0002589225769042969
12;30276;0.0004818439483642578
13;30808;0.0009567737579345703
14;33263;0.0019352436065673828
15;37845;0.003847837448120117
16;38377;0.0077250003814697266
17;40832;0.015376567840576172
18;45414;0.030786514282226562
19;45946;0.061808109283447266
20;48401;0.1235496997833252
21;52983;0.24826312065124512
22;53515;0.49742984771728516
23;55970;0.9915847778320312
24;60552;1.983579158782959
25;61084;3.9840900897979736
26;63539;8.012432098388672
27;68121;15.91177773475647
28;68653;31.67127823829651
29;71108;63.52975654602051
30;75690;127.14975070953369
